dmc,name,hex,red,green,blue
913,Nile Green Med,6DAB77,109,171,119
915,Plum Dark,820043,130,0,67
917,Plum Medium,9B1359,155,19,89
918,Red?Copper Dark,82340A,130,52,10
919,Red?Copper,A64510,166,69,16
920,Copper Med,AC5414,172,84,20
921,Copper,C66218,198,98,24
922,Copper Light,E27323,226,115,35
924,Gray Green Vy Dark,566A6A,86,106,106
926,Gray Green Med,98AEAE,152,174,174
927,Gray Green Light,BDCBCB,189,203,203
928,Gray Green Vy Lt,DDE3E3,221,227,227
930,Antique Blue Dark,455C71,69,92,113
931,Antique Blue Medium,6A859E,106,133,158
932,Antique Blue Light,A2B5C6,162,181,198
934,Avocado Grn Black,313919,49,57,25
935,Avocado Green Dk,424D21,66,77,33
936,Avocado Grn V Dk,4C5826,76,88,38
937,Avocado Green Md,627133,98,113,51
938,Coffee Brown Ult Dk,361F0E,54,31,14
939,Navy Blue Very Dark,1B2853,27,40,83
943,Green Bright Md,3D9384,61,147,132
945,Tawny,FBD5BB,251,213,187
946,Burnt Orange Med,EB6307,235,99,7
947,Burnt Orange,FF7B4D,255,123,77
948,Peach Very Light,FEE7DA,254,231,218
950,Desert Sand Light,EED3C4,238,211,196
951,Tawny Light,FFE2CF,255,226,207
954,Nile Green,88BA91,136,186,145
955,Nile Green Light,A2D6AD,162,214,173
956,Geranium,FF9191,255,145,145
957,Geranium Pale,FDB5B5,253,181,181
958,Sea Green Dark,3EB6A1,62,182,161
959,Sea Green Med,59C7B4,89,199,180
961,Dusty Rose Dark,CF7373,207,115,115
962,Dusty Rose Medium,E68A8A,230,138,138
963,Dusty Rose Ult Vy Lt,FFD7D7,255,215,215
964,Sea Green Light,A9E2D8,169,226,216
966,Jade Ultra Vy Lt,B9D7C0,185,215,192
967,Apricot Very Light,FFDED5,255,222,213
970,Pumpkin Light,F78B13,247,139,19
971,Pumpkin,F67F00,246,127,0
972,Canary Deep,FFB515,255,181,21
973,Canary Bright,FFE300,255,227,0
975,Golden Brown Dk,914F12,145,79,18
976,Golden Brown Med,C28142,194,129,66
977,Golden Brown Light,DC9C56,220,156,86
986,Forest Green Vy Dk,405230,64,82,48
987,Forest Green Dk,587141,88,113,65
988,Forest Green Med,738B5B,115,139,91
989,Forest Green,8DA675,141,166,117
991,Aquamarine Dk,477B6E,71,123,110
992,Aquamarine Lt,6FAE9F,111,174,159
993,Aquamarine Vy Lt,90C0B4,144,192,180
995,Electric Blue Dark,2696B6,38,150,182
996,Electric Blue Medium,30C2EC,48,194,236
3011,Khaki Green Dk,898A58,137,138,88
3012,Khaki Green Md,A6A75D,166,167,93
3013,Khaki Green Lt,B9B982,185,185,130
3021,Brown Gray Vy Dk,4F4B41,79,75,65
3022,Brown Gray Med,﻿8E9078,142,144,120
3023,Brown Gray Light,B1AA97,177,170,151
3024,Brown Gray Vy Lt,EBEAE7,235,234,231
3031,Mocha Brown Vy Dk,4B3C2A,75,60,42
3032,Mocha Brown Med,B39F8B,179,159,139
3033,Mocha Brown Vy Lt,E3D8CC,227,216,204
3041,Antique Violet Medium,956F7C,149,111,124
3042,Antique Violet Light,B79DA7,183,157,167
3045,Yellow Beige Dk,BC966A,188,150,106
3046,Yellow Beige Md,D8BC9A,216,188,154
3047,Yellow Beige Lt,E7D6C1,231,214,193
3051,Green Gray Dk,5F6648,95,102,72
3052,Green Gray Md,889268,136,146,104
3053,Green Gray,9CA482,156,164,130
3064,Desert Sand,C48E70,196,142,112
3072,Beaver Gray Vy Lt,E6E8E8,230,232,232
3078,Golden Yellow Vy Lt,FDF9CD,253,249,205
3325,Baby Blue Light,B8D2E6,184,210,230
3326,Rose Light,FBADB4,251,173,180
3328,Salmon Dark,E36D6D,227,109,109
3340,Apricot Med,FF836F,255,131,111
3341,Apricot,FCAB98,252,171,152
3345,Hunter Green Dk,1B5915,27,89,21
3346,Hunter Green,406A3A,64,106,58
3347,Yellow Green Med,71935C,113,147,92
3348,Yellow Green Lt,CCD9B1,204,217,177
3350,Dusty Rose Ultra Dark,BC4365,188,67,101
3354,Dusty Rose Light,E4A6AC,228,166,172
3362,Pine Green Dk,5E6B47,94,107,71
3363,Pine Green Md,728256,114,130,86
3364,Pine Green,83975F,131,151,95
3371,Black Brown,﻿1E1108,30,17,8
3607,Plum Light,C54989,197,73,137
3608,Plum Very Light,EA9CC4,234,156,196
3609,Plum Ultra Light,﻿F4AED5,244,174,213
3685,Mauve Very Dark,881531,136,21,49
3687,Mauve,C96B70,201,107,112
3688,Mauve Medium,E7A9AC,231,169,172
3689,Mauve Light,FBBFC2,251,191,194
3705,Melon Dark,FF7992,255,121,146
3706,Melon Medium,FFADBC,255,173,188
3708,Melon Light,FFCBD5,255,203,213
3712,Salmon Medium,F18787,241,135,135
3713,Salmon Very Light,FFE2E2,255,226,226
3716,Dusty Rose Med Vy Lt,FFBDBD,255,189,189
3721,Shell Pink Dark,A14B51,161,75,81
3722,Shell Pink Med,BC6C64,188,108,100
3726,Antique Mauve Dark,9B5B66,155,91,102
3727,Antique Mauve Light,DBA9B2,219,169,178
3731,Dusty Rose Very Dark,DA6783,218,103,131
3733,Dusty Rose,E8879B,232,135,155
3740,Antique Violet Dark,785762,120,87,98
3743,Antique Violet Vy Lt,D7CBD3,215,203,211
3746,Blue Violet Dark,776B98,119,107,152
3747,Blue Violet Vy Lt,D3D7ED,211,215,237
3750,Antique Blue Very Dk,384C5E,56,76,94
3752,Antique Blue Very Lt,C7D1DB,199,209,219
3753,Antique Blue Ult Vy Lt,DBE2E9,219,226,233
3755,Baby Blue,﻿93B4CE,147,180,206
3756,Baby Blue Ult Vy Lt,EEFCFC,238,252,252
3760,Wedgewood Med,3E85A2,62,133,162
3761,Sky Blue Light,ACD8E2,172,216,226
3765,Peacock Blue Vy Dk,347F8C,52,127,140
3766,Peacock Blue Light,99CFD9,153,207,217
3768,Gray Green Dark,657F7F,101,127,127
3770,Tawny Vy Light,FFEEE3,255,238,227
3771,Terra Cotta Ult Vy Lt,F4BBA9,244,187,169
3772,Desert Sand Vy Dk,A06C50,160,108,80
3773,Desert Sand Dark,B67552,182,117,82
3774,Desert Sand Vy Lt,F3E1D7,243,225,215
3776,Mahogany Light,CF7939,207,121,57
3777,Terra Cotta Vy Dk,863022,134,48,34
3778,Terra Cotta Light,D98978,217,137,120
3779,Rosewood Ult Vy Lt,F8CAC8,248,202,200
3781,Mocha Brown Dk,6B5743,107,87,67
3782,Mocha Brown Lt,D2BCA6,210,188,166
3787,Brown Gray Dark,625D50,98,93,80
3790,Beige Gray Ult Dk,7F6A55,127,106,85
3799,Pewter Gray Vy Dk,424242,66,66,66
3801,Melon Very Dark,E74967,231,73,103
3802,Antique Mauve Vy Dk,714149,113,65,73
3803,Mauve Dark,AB3357,171,51,87
3804,Cyclamen Pink Dark,E02876,224,40,118
3805,Cyclamen Pink,F3478B,243,71,139
3806,Cyclamen Pink Light,FF8CAE,255,140,174
3807,Cornflower Blue,60678C,96,103,140
3808,Turquoise Ult Vy Dk,366970,54,105,112
3809,Turquoise Vy Dark,3F7C85,63,124,133
3810,Turquoise Dark,488E9A,72,142,154
3811,Turquoise Very Light,BCE3E6,188,227,230
3812,Sea Green Vy Dk,2F8C84,47,140,132
3813,Blue Green Lt,B2D4BD,178,212,189
3814,Aquamarine,508B7D,80,139,125
3815,Celadon Green Dk,477759,71,119,89
3816,Celadon Green,65A57D,101,165,125
3817,Celadon Green Lt,99C3AA,153,195,170
3818,Emerald Grn Ult V Dk,115A3B,17,90,59
3819,Moss Green Lt,E0E868,224,232,104
3820,Straw Dark,DFB65F,223,182,95
3821,Straw,F3CE75,243,206,117
3822,Straw Light,F6DC98,246,220,152
3823,Yellow Ultra Pale,FFFDE3,255,253,227
3824,Apricot Light,FECDC2,254,205,194
3825,Pumpkin Pale,FDBD96,253,189,150
3826,Golden Brown,AD7239,173,114,57
3827,Golden Brown Pale,F7BB77,247,187,119
3828,Hazelnut Brown,B78B61,183,139,97
3829,Old Gold Vy Dark,A98204,169,130,4
3830,Terra Cotta,﻿B95544,185,85,68
3831,Raspberry Dark,B32F48,179,47,72
3832,Raspberry Medium,DB556E,219,85,110
3833,Raspberry Light,EA8699,234,134,153
3834,Grape Dark,72375D,114,55,93
3835,Grape Medium,946083,148,96,131
3836,Grape Light,BA91AA,186,145,170
